A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
207,Rn,86,7573 11,12 08,3494 01,17 29,*,99 17
207,Fr,87,9673 24,33 19,1000 35,19 50,*,25 18
207,Ra,88,8092 37,56 16,2502 07,60 21,*,10 53
207,Ac,89,10404 54,71 33,291 72,53 51,*,05 86
0208,Pt,78,4521 566,*,400 *,9834 642,*,
208,Au,79,3363 423,8850 499,12769 298,14241 422,11729 422,5505 585
208,Hg,80,4849 28,42 82,9744 302,4204 19,30 79,11660 300
208,Tl,81,3787 00,5 60,7551 66,29 87,4280 26,9 10
208,Pb,82,7367 87,0 05,8003 12,5 40,12093 01,11 08
208,Bi,83,6886 91,2 71,3707 15,2 01,16204 30,12 06
208,Po,84,8395 14,6 69,4703 94,2 49,19197 45,9 05
208,At,85,7313 77,15 27,2613 07,11 13,23223 11,56 43
208,Rn,86,9092 15,14 01,3717 15,16 67,26339 32,35 94
208,Fr,87,7892 89,21 13,1320 13,14 57,*,85 14
208,Ra,88,9887 95,53 95,2716 77,19 69,*,08 29
208,Ac,89,8464 31,75 12,80 22,77 04,*,50 58
208,Th,90,*,47 60,89 *,13915 08,60 98,7441 09
0209,Au,79,4510 499,8839 565,15718 400,12711 566,11956 499,*
209,Hg,80,3450 152,9832 333,7722 149,12877 335,10434 333,6634 333
209,Tl,81,4965 94,6 27,7668 32,31 34,762 14,7 93
209,Pb,82,3937 37,1 34,8153 48,2 13,8673 60,10 11
209,Bi,83,7459 76,1 86,3799 03,0 78,14489 09,14 69
209,Po,84,6967 81,1 89,4784 84,2 43,18224 31,5 95
209,At,85,8484 06,10 28,2701 99,5 27,21726 42,50 87
209,Rn,86,7356 78,14 94,3760 15,13 37,25308 140,14997 17
209,Fr,87,9174 97,18 83,1402 95,18 39,*,00 16
209,Ra,88,7940 95,10 66,2764 83,13 16,*,37 18
209,Ac,89,9980 74,75 27,173 02,51 41,*,13 73
209,Th,90,8388 144,1675 150,*,148 7752,148 18448,141
0210,Au,79,3202 566,*,401 14030,566 11733,566 *,
210,Hg,80,4792 246,10114 445,10588 196,11447 357,10309 358,4821 446
210,Tl,81,3673 53,13 06,7892 149,2725 21,13 85,14729 24
210,Pb,82,5185 17,1 25,8372 72,6 18,5123 73,4 74
210,Bi,83,4604 63,0 08,4466 30,1 15,11458 77,15 21
210,Po,84,7658 36,1 36,4983 45,0 77,16395 93,9 18
210,At,85,7160 88,9 17,2895 06,7 73,20761 88,57 92
210,Rn,86,8735 04,10 95,4011 13,6 83,23664 22,19 44
210,Fr,87,7634 95,21 01,1681 13,18 13,*,19 18
210,Ra,88,9486 74,10 82,3076 61,17 28,*,52 14
210,Ac,89,8125 43,76 53,357 49,57 69,*,65 58
210,Th,90,10379 141,2073 33,54 03,*,02 58,84 7777
0211,Hg,80,3330 277,10242 446,11808 196,12627 445,10341 357,6012 445
211,Tl,81,4902 35,43 49,8002 200,5569 27,42 01,13277 155
211,Pb,82,3835 76,2 57,8534 95,11 77,1737 54,7 14
211,Bi,83,5138 47,5 45,4419 60,5 48,7718 88,13 16
211,Po,84,4550 75,0 52,4929 56,0 92,13264 59,8 02
211,At,85,7746 40,8 01,2983 10,2 49,18849 48,53 05
211,Rn,86,7221 95,8 17,4072 20,10 15,22665 58,73 32
211,Fr,87,8878 36,19 30,1824 45,12 83,26220 103,15511 61
211,Ra,88,7682 09,12 13,3123 74,17 10,*,40 16
211,Ac,89,9658 80,78 11,529 55,53 77,*,80 53
211,Th,90,8220 59,75 41,2168 50,92 87,*,17 88
211,Pa,91,*,104 *,16424 173,10260 108,16973 117,
0212,Hg,80,4690 357,*,298 11139,499 10161,499 *,
212,Tl,81,3544 205,8216 280,7077 200,14525 280,11957 250,6636 447
212,Pb,82,5127 22,2 46,8759 82,41 96,1110 76,3 50
212,Bi,83,4330 14,5 60,4913 98,2 68,4601 99,8 96
212,Po,84,6008 23,0 52,5799 33,5 41,10170 52,11 21
212,At,85,5052 27,3 07,3484 62,2 16,15905 52,51 44
212,Rn,86,7975 52,7 33,4301 31,3 84,20770 42,10 47
212,Fr,87,7447 04,14 85,2049 53,11 11,25109 33,75 37
212,Ra,88,9102 31,13 77,3347 69,16 45,*,04 18
212,Ac,89,7996 23,73 80,843 70,51 99,*,31 52
212,Th,90,9870 68,73 70,2380 38,53 93,*,91 58
212,Pa,91,8558 127,394 22,104 57,*,72 77,21 10090
0213,Hg,80,3162 422,*,298 *,10202 499,*,
213,Tl,81,4737 202,8262 299,8363 41,27 45,13119 197,12013 197
213,Pb,82,3726 00,7 04,8942 200,2492 49,7 70,13585 27
213,Bi,83,5185 00,5 27,4971 76,5 20,1678 79,7 16
213,Po,84,4355 41,2 86,5824 60,3 29,6999 14,10 28
213,At,85,6022 69,5 09,3499 08,4 77,12734 29,16 02
213,Rn,86,5107 74,4 32,4356 78,3 80,17816 11,9 77
213,Fr,87,8108 20,10 14,2182 21,5 88,23215 47,71 32
213,Ra,88,7526 79,14 94,3427 45,13 17,*,61 15
213,Ac,89,9193 92,53 60,935 31,18 96,*,47 17
213,Th,90,8062 04,13 65,2446 18,52 20,*,68 53
213,Pa,91,10002 05,103 27,262 85,71 86,*,26 101
0214,Hg,80,4560 499,*,401 *,*,,
214,Tl,81,3391 197,8491 357,9844 196,14418 357,11953 277,*
214,Pb,82,5050 55,7 07,9255 55,27 09,4136 97,9 37
214,Bi,83,4040 44,12 25,5286 19,13 15,242 05,14 08
214,Po,84,5887 78,2 83,6527 38,5 17,4562 78,5 41
214,At,85,4871 55,6 22,4015 22,4 94,9823 69,15 94
214,Rn,86,6695 03,9 65,5029 12,10 29,15014 63,14 02
214,Fr,87,5477 18,9 96,2551 65,9 13,20444 22,76 61
214,Ra,88,8324 14,11 13,3643 39,7 30,*,51 10
214,Ac,89,7782 15,21 59,1190 67,18 23,*,63 19
214,Th,90,9496 52,14 08,2748 78,18 62,*,39 52
214,Pa,91,8248 43,104 19,76 46,76 68,*,51 76
0215,Hg,80,3041 566,*,401 *,*,,
215,Tl,81,4625 357,8556 499,11167 298,12956 422,12018 422,*
215,Pb,82,3546 30,52 48,9411 203,5510 80,53 01,13269 24
215,Bi,83,5241 24,12 51,5476 88,5 81,1311 26,9 01
215,Po,84,4142 98,2 46,6629 92,11 36,3075 44,7 87
215,At,85,5947 24,7 94,4074 68,6 83,7286 37,14 14
215,Rn,86,4920 14,11 86,5077 70,8 65,12090 15,11 71
215,Fr,87,6794 55,11 04,2651 16,11 48,17545 87,73 19
215,Ra,88,5630 31,9 23,3796 53,11 40,22389 35,88 81
215,Ac,89,8484 56,19 72,1351 09,13 47,*,86 15
215,Th,90,7844 62,13 85,2811 24,17 72,*,70 17
215,Pa,91,9692 89,105 36,119 92,73 62,*,66 73
215,U,92,*,40 116,73 *,15971 27,113 54,8193 78
0216,Hg,80,4420 566,*,401 *,*,,
216,Tl,81,3265 422,8779 499,12461 298,14250 499,11915 422,*
216,Pb,82,4934 203,9720 357,7227 196,11726 277,10560 197,5460 357
216,Bi,83,3826 65,12 51,5757 22,53 63,2903 04,11 93
216,Po,84,5747 19,2 29,7135 87,5 75,1508 66,8 87
216,At,85,4558 90,7 57,4490 60,3 99,5887 73,11 41
216,Rn,86,6649 89,9 60,5780 35,8 97,10045 46,13 35
216,Fr,87,5418 43,7 98,3149 46,8 59,14828 26,53 69
216,Ra,88,7313 98,11 48,4315 96,11 12,19775 27,29 38
216,Ac,89,5957 54,16 47,1678 31,13 24,*,47 12
216,Th,90,8694 57,14 94,3021 25,17 29,*,28 19
216,Pa,91,8136 04,90 40,411 34,54 25,*,14 54
216,U,92,9928 05,92 84,2086 56,78 07,*,64 81
0217,Tl,81,4476 499,8835 566,13919 401,12816 566,11999 566,*
217,Pb,82,3311 357,9767 422,8581 298,13040 422,10639 357,6708 499
217,Bi,83,5215 35,20 93,6039 196,4415 37,18 86,15098 52
217,Po,84,3970 22,6 63,7279 44,12 95,6 14,9 71
217,At,85,5933 35,6 03,4676 76,5 11,4309 04,12 42
217,Rn,86,4665 68,7 15,5887 14,5 34,8547 28,11 41
217,Fr,87,6727 68,7 51,3227 25,8 72,12753 82,17 19
217,Ra,88,5472 74,11 21,4370 26,8 17,17084 72,16282 40
217,Ac,89,7512 04,15 72,1876 38,14 31,*,74 13
217,Th,90,6163 87,16 05,3227 59,15 17,*,97 16
217,Pa,91,8802 12,55 84,518 89,19 95,*,63 18
217,U,92,8164 77,2115 89,*,102 8352,104 17925,72
0218,Tl,81,3204 566,*,400 14032,566 11836,566 *,
218,Pb,82,4858 422,10149 499,10236 298,11447 422,10406 422,4892 499
218,Bi,83,3585 24,32 29,6313 299,6156 92,27 43,16447 197
218,Po,84,5597 93,6 66,7662 03,17 81,1705 73,11 32
218,At,85,4367 79,12 58,5074 33,13 28,2745 45,52 03
218,Rn,86,6512 47,4 44,6466 26,5 40,7149 39,10 75
218,Fr,87,5326 79,7 85,3888 35,6 07,11624 65,18 93
218,Ra,88,7309 80,13 20,4952 39,12 84,15243 44,17 65
218,Ac,89,5931 38,51 99,2335 02,51 22,*,34 51
218,Th,90,7910 36,14 94,3625 90,15 50,*,15 15
218,Pa,91,6455 96,24 22,810 98,21 18,*,24 21
218,U,92,9150 73,2462 77,21 00,*,20 55,25 8894
0219,Pb,82,3246 499,10191 566,11449 401,12676 566,10425 499,6066 566
219,Bi,83,5005 197,6460 357,7665 196,14753 357,13667 277,7211 357
219,Po,84,3746 86,15 96,7823 65,31 31,3287 08,17 86
219,At,85,5773 40,12 01,5249 79,3 52,1173 40,50 60
219,Rn,86,4459 26,3 02,6557 73,11 74,5641 99,50 61
219,Fr,87,6512 67,8 39,3888 55,7 29,9922 36,51 99
219,Ra,88,5328 21,13 80,4953 81,9 39,13892 29,51 44
219,Ac,89,7345 45,71 57,2370 66,51 69,17887 17,101 77
219,Th,90,5966 67,51 65,3661 19,71 62,*,52 51
219,Pa,91,8214 96,54 67,1115 58,52 58,*,16 52
219,U,92,6679 36,52 59,2686 17,53 98,*,97 53
219,Np,93,*,08 89,41 *,17194 114,11254 36,92 71
0220,Pb,82,4681 566,*,401 11200,566 10220,566 *,
220,Bi,83,3535 357,6749 499,9337 298,16076 422,13443 422,8152 499
220,Po,84,5489 22,23 75,8308 196,4993 22,19 52,12758 23
220,At,85,4091 65,14 34,5594 58,21 12,632 06,15 26
220,Rn,86,6288 64,2 27,7072 97,3 41,4057 02,22 22
220,Fr,87,5206 76,8 01,4636 05,4 39,8736 51,16975 78
220,Ra,88,7195 35,11 55,5636 49,10 76,12663 101,13921 93
220,Ac,89,5897 11,50 83,2939 57,10 16,16567 196,17803 32
220,Th,90,7873 61,55 20,4189 35,55 12,*,30 55
220,Pa,91,6393 73,1542 72,*,52 12877,52 17161,52
220,U,92,8425 113,2896 113,*,102 10729,102 16374,101
220,Np,93,7217 215,265 202,*,196 12201,208 18889,196
0221,Bi,83,4792 422,6860 499,10820 298,14530 499,13508 422,6564 499
221,Po,84,3561 02,26 38,8334 299,6809 94,20 10,14202 197
221,At,85,5664 34,19 76,5769 70,22 55,2259 62,52 32
221,Rn,86,4211 97,5 81,7193 30,15 10,2468 95,9 95
221,Fr,87,6276 35,6 22,4623 76,5 00,7099 00,51 51
221,Ra,88,5377 75,9 32,5807 48,5 98,11556 18,51 32
221,Ac,89,7291 89,50 76,3036 11,51 07,15327 207,15839 63
221,Th,90,5800 05,23 57,4092 28,10 08,*,70 51
221,Pa,91,7913 72,1581 78,55 86,*,70 72,02 12873
221,U,92,6485 113,2987 72,*,67 72,57 10700,28 54
221,Np,93,8532 280,372 224,*,207 12819,201 16812,201
0222,Bi,83,3440 423,*,300 15771,500 13315,500 *,
222,Po,84,5358 81,44 58,8900 301,8166 08,40 30,12378 301
222,At,85,3901 02,21 12,6109 70,25 17,4331 55,16 66
222,Rn,86,6170 53,5 84,7699 49,14 11,830 91,12 41
222,Fr,87,4970 50,8 91,5382 29,9 39,5776 73,16476 83
222,Ra,88,6714 94,6 23,6246 07,6 50,9952 64,52 18
222,Ac,89,5972 95,50 65,3631 31,6 69,14397 196,17062 03
222,Th,90,7808 58,14 66,4608 97,51 87,*,23 13
222,Pa,91,6293 89,2075 73,*,76 12547,88 16232,88
222,U,92,8318 49,72 91,3392 43,73 03,*,73 10596
222,Np,93,6902 280,790 202,*,220 12596,202 18125,202
0223,Bi,83,4664 500,*,401 *,13331 566,*,
223,Po,84,3479 200,8940 358,9845 196,13692 357,11124 357,9056 446
223,At,85,5596 34,21 12,6347 23,42 42,5602 12,15 68
223,Rn,86,4053 78,8 06,7852 26,17 66,1003 91,12 09
223,Fr,87,6067 03,7 70,5278 78,2 27,3938 28,71 09
223,Ra,88,5158 20,4 79,6433 77,7 74,8603 70,71 15
223,Ac,89,6866 91,8 69,3783 28,8 29,12774 196,15572 88
223,Th,90,5888 60,15 27,4524 61,10 44,*,53 51
223,Pa,91,7905 102,2171 41,72 10,*,11 71,51 12515
223,U,92,6507 14,88 10,3607 102,*,52 87,67 10483
223,Np,93,8490 277,962 202,*,202 12530,220 16028,202
0224,Bi,83,3378 566,*,400 *,*,,
224,Po,84,5240 277,9515 446,11084 196,11892 358,10677 357,*
224,At,85,3788 31,26 36,6656 197,7476 88,22 73,15935 56
224,Rn,86,6015 96,12 55,8271 88,17 07,2451 36,14 10
224,Fr,87,4705 10,11 34,5930 09,13 64,2113 66,13 51
224,Ra,88,6478 71,2 26,6845 45,2 11,6896 34,23 22
224,Ac,89,5663 06,8 10,4288 14,4 44,11642 196,16624 75
224,Th,90,7463 41,13 59,5121 12,12 30,*,07 11
224,Pa,91,6529 71,71 44,2812 52,11 83,*,97 14
224,U,92,8186 07,74 78,3887 39,74 73,*,76 10210
224,Np,93,6795 277,1250 208,*,202 12220,202 17146,202
0225,Po,84,3451 357,9589 499,12537 298,13105 499,10665 423,*
225,At,85,5388 299,6805 357,8757 298,14027 357,12772 301,7312 423
225,Rn,86,3982 27,14 85,8465 84,24 98,4224 01,12 25
225,Fr,87,5999 32,16 38,5913 46,15 48,520 11,72 01
225,Ra,88,4904 12,2 79,7044 48,11 48,5386 81,11 20
225,Ac,89,6668 11,6 16,4477 54,4 87,9950 36,71 78
225,Th,90,5754 92,11 22,5212 98,6 38,*,05 8
225,Pa,91,7592 87,71 39,2941 98,71 71,*,70 71
225,U,92,6413 65,25 56,3771 33,13 19,*,05 71
225,Np,93,8359 208,1423 52,75 27,*,50 100,93 12178
0226,Po,84,5053 499,*,401 11429,566 10276,566 *,
226,At,85,3852 422,7205 422,10305 298,15415 357,12400 357,8124 499
226,Rn,86,5858 27,15 29,8936 298,5549 56,11 40,11746 98
226,Fr,87,4371 39,13 49,6302 57,12 76,1487 26,13 01
226,Ra,88,6396 60,2 85,7441 76,12 11,3661 05,13 12
226,Ac,89,5399 40,5 50,4972 82,3 77,8468 88,16194 15
226,Th,90,7183 81,6 61,5728 68,6 42,*,30 5
226,Pa,91,6378 77,71 90,3565 82,12 37,*,35 15
226,U,92,8122 37,16 89,4300 83,72 17,*,40 14
226,Np,93,6882 114,1892 89,*,91 11804,113 16103,113
0227,Po,84,3339 566,*,401 *,10314 566,*,
227,At,85,5202 422,7354 499,11634 298,13664 422,12437 357,6299 499
227,Rn,86,3932 68,17 56,9017 298,7081 01,14 24,13202 298
227,Fr,87,5909 41,8 58,6353 72,12 02,2851 25,9 48
227,Ra,88,4561 43,0 27,7631 80,6 53,1867 75,9 87
227,Ac,89,6531 00,3 34,5107 22,2 25,6712 50,72 53
227,Th,90,5464 13,4 81,5793 41,3 43,10965 100,14878 28
227,Pa,91,7273 40,13 56,3655 41,8 58,*,88 8
227,U,92,6354 72,16 14,4276 78,14 90,*,54 71
227,Np,93,8286 114,2055 76,73 64,*,96 73,30 11703
227,Pu,94,*,133 *,15893 123,9758 220,16694 102,
0228,At,85,3870 499,7885 566,12790 401,14847 566,12018 499,*
228,Rn,86,5713 69,22 61,9529 299,8472 48,17 77,11340 299
228,Fr,87,4369 54,8 95,6790 58,15 62,4460 63,8 01
228,Ra,88,6308 76,2 34,8031 15,6 23,281 96,14 49
228,Ac,89,5026 17,2 42,5571 95,2 42,4700 97,50 61
228,Th,90,7105 16,2 25,6367 57,2 10,9316 39,29 18
228,Pa,91,5978 93,8 50,4170 21,4 67,*,76 6
228,U,92,7894 55,17 25,4897 94,16 10,*,76 18
228,Np,93,7037 70,88 38,2738 74,51 47,*,63 52
228,Pu,94,8754 104,3763 68,78 13,*,93 9363,72 77
0229,At,85,4932 566,*,401 13254,566 12139,566 *,
229,Rn,86,3952 38,21 97,9611 401,9776 82,13 26,12590 298
229,Fr,87,5787 28,8 39,6864 17,18 37,5771 35,5 96
229,Ra,88,4449 62,15 57,8111 23,16 84,1351 41,16 54
229,Ac,89,6276 11,12 29,5539 31,12 27,3089 74,87 69
229,Th,90,5256 72,2 61,6598 12,2 78,7810 01,51 23
229,Pa,91,7098 00,5 31,4163 05,3 39,12253 11,87 41
229,U,92,6082 99,15 45,5002 00,7 22,*,16 9
229,Np,93,7887 34,100 48,2731 52,88 01,*,02 87
229,Pu,94,6763 10,58 87,3489 07,71 93,*,32 88
229,Am,95,*,32 92,08 *,16091 133,*,124
0230,Rn,86,5386 196,10065 446,11185 196,11074 446,9428 357,5414 446
230,Fr,87,4252 81,8 23,7164 60,14 59,7313 16,7 21
230,Ra,88,6116 97,18 56,8440 93,11 45,2901 30,11 24
230,Ac,89,4922 87,19 93,6012 55,22 12,1397 91,53 68
230,Th,90,6794 31,2 21,7116 31,12 17,6071 80,14 85
230,Pa,91,5794 62,4 22,4700 95,3 59,10758 133,16113 43
230,U,92,7666 87,7 29,5570 88,5 46,*,22 6
230,Np,93,6614 70,100 84,3263 23,51 60,*,87 53
230,Pu,94,8532 52,53 26,4134 25,88 09,*,50 52
230,Am,95,7289 159,1753 143,*,136 11026,166 16016,152
0231,Rn,86,3665 357,*,298 12341,499 9633,499 *,
231,Fr,87,5477 51,10 13,7256 196,8656 17,7 93,13428 98
231,Ra,88,4371 14,15 34,8559 25,13 12,4410 47,11 68
231,Ac,89,6146 85,20 51,6042 43,16 62,138 34,52 20
231,Th,90,5118 02,0 20,7311 46,15 88,4493 11,22 57
231,Pa,91,6820 52,3 18,4727 16,1 46,8986 300,14549 63
231,U,92,5880 30,5 12,5656 56,3 76,13464 300,14619 91
231,Np,93,7683 10,72 00,3279 46,50 73,*,77 50
231,Pu,94,6696 70,26 94,4216 26,56 00,*,14 89
231,Am,95,8593 328,1813 300,*,304 11187,301 14461,304
231,Cm,96,*,328 *,15830 312,*,301,
0232,Fr,87,4079 06,15 97,7670 298,10126 20,15 93,14736 196
232,Ra,88,5790 85,14 59,8872 59,11 98,5887 42,9 33
232,Ac,89,4679 75,18 44,6351 04,17 30,1795 101,15348 92
232,Th,90,6440 42,1 07,7605 04,13 12,2916 36,17 65
232,Pa,91,5549 09,7 68,5158 23,7 52,7393 300,15794 85
232,U,92,7267 80,2 80,6103 84,1 95,11703 202,13146 73
232,Np,93,6336 112,3735 100,*,100 11013,100 13109,100
232,Pu,94,8017 18,28 55,4550 34,53 51,*,65 54
232,Am,95,7142 424,2258 301,*,300 10808,304 15206,312
232,Cm,96,9029 362,3387 362,*,242 9026,220 14563,208
0233,Fr,87,5224 10,24 04,*,58 19,61 13177,299 11736
233,Ra,88,4234 21,12 56,9027 74,16 41,7414 88,8 89
233,Ac,89,5917 70,18 44,6477 89,15 93,3359 44,52 62
233,Th,90,4786 39,0 09,7711 67,13 12,1320 05,50 37
233,Pa,91,6528 48,7 64,5246 28,1 12,5774 102,14384 39
233,U,92,5761 67,2 49,6316 43,7 83,10374 83,71 58
233,Np,93,7482 112,3949 91,50 99,14912 230,14853 38,51 00
233,Pu,94,6382 69,53 31,4597 112,*,06 71,33 9679
233,Am,95,8148 317,2389 103,*,104 11193,103 13673,114
233,Cm,96,7090 214,3335 308,*,308 9226,151 16006,02 73
233,Bk,97,*,302 *,16302 374,*,261,
0234,Ra,88,5474 75,12 01,9278 39,21 28,8785 60,8 46
234,Ac,89,4538 16,19 11,6781 84,16 41,4886 32,16 30
234,Th,90,6190 02,2 57,7983 99,13 30,263 04,7 21
234,Pa,91,5221 87,4 06,5681 76,4 08,4122 159,15602 94
234,U,92,6845 47,2 00,6633 42,0 82,8579 61,17 42
234,Np,93,6065 04,51 65,4253 27,8 56,13501 143,16056 15
234,Pu,94,7773 12,50 78,4887 59,51 42,*,100 9589
234,Am,95,6873 188,2880 166,*,159 11016,160 14483,166
234,Cm,96,8640 69,73 61,3828 103,*,300 9179,300 14062
234,Bk,97,7477 265,1128 159,*,247 11050,332 16692,332
0235,Ra,88,3872 300,*,300 12920,301 9921,300 *,
235,Ac,89,5555 35,19 76,6862 44,16 29,6314 05,14 04
235,Th,90,4666 58,13 30,8112 41,19 11,1835 34,24 31
235,Pa,91,6121 34,14 56,5613 08,14 21,2336 53,54 03
235,U,92,5297 50,0 23,6709 05,3 99,7115 201,14140 18
235,Np,93,6983 08,8 37,4390 89,0 88,11661 401,14834 74
235,Pu,94,6238 88,21 59,5061 43,22 12,*,63 54
235,Am,95,7907 167,3013 51,52 62,*,47 72,51 11126
235,Cm,96,6762 202,3716 256,*,225 9558,361 15317,202
235,Bk,97,8823 425,1310 401,*,407 11256,449 15011,500
0236,Ac,89,4207 48,40 67,7198 302,7842 81,63 25,15001 17
236,Th,90,5833 87,19 11,8390 93,19 76,3353 61,14 09
236,Pa,91,5026 26,19 76,5972 77,19 11,707 113,15431 75
236,U,92,6545 52,0 26,7133 22,14 02,5410 40,18 34
236,Np,93,5736 25,50 42,4829 64,50 41,10164 404,15943 96
236,Pu,94,7352 13,20 54,5430 49,1 76,*,53 8
236,Am,95,6656 123,3431 114,*,112 10853,123 13738,123
236,Cm,96,8250 202,4059 35,55 30,*,160 9456,103 13449
236,Bk,97,7233 566,1781 448,*,401 11112,407 15925,413
0237,Ac,89,5272 401,*,400 13601,500 11954,400 *,
237,Th,90,4371 42,21 12,8554 87,41 34,4863 37,15 93
237,Pa,91,5877 65,19 11,6016 55,19 11,958 61,14220 68
237,U,92,5125 77,0 46,7232 73,14 02,3856 89,70 97
237,Np,93,6577 84,50 42,4861 95,0 25,8316 224,14663 62
237,Pu,94,5881 19,2 08,5575 43,50 43,12847 20,87 30
237,Am,95,7542 127,3621 59,*,63 11084,60 12261,60
237,Cm,96,6679 28,73 27,4083 132,*,46 88,08 9650
237,Bk,97,8425 459,1956 225,*,301 11328,225 14373,275
237,Cf,98,*,410 *,15946 410,9348 167,16860 69,88 99
0238,Th,90,5501 284,8784 490,6362 283,12015 286,10032 284,7042 413
238,Pa,91,4704 90,20 51,6350 02,22 39,2472 55,53 12
238,U,92,6153 73,1 26,7508 81,13 13,2137 40,12 29
238,Np,93,5488 32,0 20,5224 51,0 56,6761 255,15720 82
238,Pu,94,6999 83,1 35,5997 42,0 41,11114 298,13495 84
238,Am,95,6220 78,3959 21,50 71,*,70 50,71 11103
238,Cm,96,7873 21,71 99,4414 61,*,112 9683,81 53
238,Bk,97,7043 340,2320 265,*,256 11046,325 15237,260
238,Cf,98,8733 311,3200 373,*,499 9438,499 14890,360
0239,Th,90,4146 490,*,400 13141,565 10093,401 *,
239,Pa,91,5628 196,6477 344,3947 196,14093 196,11946 196,7763 199
239,U,92,4806 38,0 17,7610 29,15 91,574 31,54 05
239,Np,93,6214 92,0 99,5285 70,1 48,4939 207,14631 67
239,Pu,94,5646 25,0 31,6155 34,0 37,9681 209,14427 43
239,Am,95,7102 38,50 71,4061 76,1 67,14165 298,15009 51
239,Cm,96,6369 48,55 40,4563 43,74 09,*,80 9970
239,Bk,97,8037 328,2484 207,*,219 11259,208 13856,235
239,Cf,98,7080 364,3236 330,*,307 9591,452 16060,210
239,Es,99,*,422 *,16328 311,*,499,
0240,Pa,91,4499 280,6830 447,5399 201,15095 347,11819 201,8536 447
240,U,92,5928 53,2 86,7911 196,991 20,3 12,12532 27
240,Np,93,5066 10,17 04,5545 42,17 05,3348 151,15719 29
240,Pu,94,6534 22,0 23,6474 65,0 95,7865 56,18 72
240,Am,95,5951 57,13 89,4367 08,13 79,12688 401,16057 76
240,Cm,96,7494 04,54 06,4955 09,2 34,*,63 50
240,Bk,97,6657 255,2772 159,*,151 11281,166 14741,161
240,Cf,98,8349 210,3548 208,*,256 9667,225 14390,26 73
240,Es,99,7429 499,1359 452,*,499 11124,410 16657,459
0241,Pa,91,5341 361,*,300 13900,500 11979,413 *,
241,U,92,4590 196,8002 280,2495 196,13570 277,10167 196,9318 344
241,Np,93,6127 41,72 73,5744 30,70 76,1772 212,14398 26
241,Pu,94,5241 52,0 03,6650 07,17 02,6372 166,14354 93
241,Am,95,6647 09,13 79,4479 96,0 17,10929 225,15056 92
241,Cm,96,6093 79,2 09,5097 31,13 84,15424 298,15022 21
241,Bk,97,7704 250,2981 200,*,207 11451,200 13257,206
241,Cf,98,6736 167,3627 224,*,265 9975,304 15528,166
241,Es,99,8407 460,1417 226,*,307 11450,374 15294,340
241,Fm,100,*,499 *,16281 422,*,422,
0242,U,92,5648 280,8309 361,3816 201,12421 283,10147 280,7816 447
242,Np,93,4914 56,212 13,6069 280,317 283,15412 23,200 02
242,Pu,94,6309 56,0 68,6832 21,70 71,4670 03,12 91
242,Am,95,5537 64,0 10,4776 07,0 19,9333 256,16053 50
242,Cm,96,6969 38,1 23,5419 60,0 40,13596 401,14004 40
242,Bk,97,6369 283,3257 200,*,200 11451,207 13990,200
242,Cf,98,8011 166,3934 200,*,151 10001,207 13886,34 55
242,Es,99,7133 341,1814 305,*,257 11396,330 16197,329
242,Fm,100,8798 499,2753 460,*,566 9708,499 15777,452
0243,U,92,4331 361,*,300 13431,424 10314,361 *,
243,Np,93,5612 203,6033 203,1186 32,14390 198,12024 32,8613 203
243,Pu,94,5033 65,2 39,6951 30,200 01,3235 114,14205 23
243,Am,95,6364 34,1 24,4830 86,1 38,7572 207,14930 68
243,Cm,96,5693 08,1 05,5575 04,1 04,12205 215,14958 41
243,Bk,97,7115 200,3403 04,4 40,*,67 4,55 11829
243,Cf,98,6468 115,4033 230,*,230 10190,188 14912,114
243,Es,99,8125 329,1929 207,*,265 11620,208 14729,256
243,Fm,100,7084 455,2703 334,*,311 10053,455 17043,216
0244,Np,93,4745 300,6447 423,2488 298,15293 359,11869 357,9208 423
244,Pu,94,6019 89,2 93,7359 32,1672 15,3 46,13099 90
244,Am,95,5367 17,1 58,5164 38,2 63,6146 181,15873 07
244,Cm,96,6801 42,1 03,6012 12,1 22,10514 201,13694 63
244,Bk,97,6047 13,15 01,3757 08,14 39,*,93 14
244,Cf,98,7583 114,4500 48,5 02,*,200 10310,200 13422
244,Es,99,6793 275,2253 214,*,182 11563,246 15640,270
244,Fm,100,8493 294,3070 288,*,325 9967,302 15286,261
0245,Np,93,5383 423,*,300 14241,424 12134,361 *,
245,Pu,94,4699 17,13 42,7313 298,207 03,13 82,14013 34
245,Am,95,6050 04,1 90,5194 53,2 93,4466 200,14856 67
245,Cm,96,5518 63,0 49,6163 59,1 11,9183 195,14540 34
245,Bk,97,6971 37,14 42,3927 03,1 41,13459 305,15342 64
245,Cf,98,6164 29,3 31,4617 65,14 52,*,32 4
245,Es,99,7731 270,2401 200,*,230 11843,200 14279,283
245,Fm,100,6850 280,3127 266,*,284 10250,322 16447,195
245,Md,101,*,366 *,16596 373,11737 504,16118 398,
0246,Pu,94,5854 70,20 09,7784 300,1304 51,15 02,12904 298
246,Am,95,4978 18,5473 22,2907 224,15899 18,12103 18,10765 36
246,Cm,96,6458 93,1 22,6572 47,1 96,7571 87,15 38
246,Bk,97,5918 19,60 03,4326 58,60 01,12148 266,16225 88
246,Cf,98,7366 23,2 42,5012 51,1 77,*,21 14
