A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
183,Pt,78,7675 36,20 31,4009 78,26 09,28197 27,32 14
183,Au,79,9962 03,22 34,1312 00,16 13,*,83 16
183,Hg,80,8299 07,12 07,2792 88,21 46,*,27 21
183,Tl,81,11330 65,15 07,299 31,13 53,*,69 17
183,Pb,82,8821 42,30 64,1536 26,30 54,*,32 29
0184,Yb,70,5512 643,*,503 *,7495 780,*,
184,Lu,71,4767 309,8601 499,7808 298,13119 499,9540 422,4405 667
184,Hf,72,6287 89,49 78,9072 23,89 41,2753 16,39 70
184,Ta,73,5617 89,26 04,6845 55,39 72,3228 52,38 18
184,W,74,7411 11,0 13,7701 55,1 41,8371 13,15 60
184,Re,75,6481 37,9 04,5143 03,4 20,13900 92,22 68
184,Os,76,8659 81,49 77,5731 92,8 03,17903 57,10 09
184,Ir,77,7478 86,37 10,3235 78,57 07,22727 61,29 69
184,Pt,78,9633 07,22 00,4419 90,28 95,26282 72,20 17
184,Au,79,8198 54,24 19,1835 19,27 16,31381 78,81 22
184,Hg,80,10615 61,12 29,3446 45,13 79,*,61 22
184,Tl,81,8367 30,13 69,367 54,12 27,*,49 14
184,Pb,82,11547 62,30 92,1753 24,15 85,*,21 17
184,Bi,83,*,32 83,03 *,18598 99,79 04,9044 47
0185,Yb,70,4031 711,*,503 *,*,,
185,Lu,71,5547 422,8637 585,9931 298,11923 499,9796 499,*
185,Hf,72,4891 74,75 55,9197 305,4486 08,64 28,12107 12
185,Ta,73,6626 24,29 60,7183 89,42 14,1058 74,31 33
185,W,74,5753 74,0 05,7837 39,26 00,6699 65,25 84
185,Re,75,7670 71,4 09,5402 62,0 66,11960 88,2 73
185,Os,76,6624 66,0 27,5875 22,4 13,16622 21,13 66
185,Ir,77,8796 02,39 52,3371 99,27 96,20577 81,34 76
185,Pt,78,7425 21,30 17,4366 26,38 06,25146 92,30 48
185,Au,79,9610 75,22 43,1812 87,15 80,29622 81,14625 15
185,Hg,80,7906 02,16 94,3153 93,26 12,*,62 16
185,Tl,81,10945 82,22 97,697 75,22 99,*,74 21
185,Pb,82,8561 02,20 63,1946 95,19 03,*,84 18
185,Bi,83,11370 113,1527 81,*,86 9453,82 16739,82
0186,Lu,71,4394 499,8999 643,11717 401,13040 643,9753 566,*
186,Hf,72,6175 73,82 19,9825 302,6575 73,51 24,10699 302
186,Ta,73,5284 55,61 66,7576 70,87 93,564 82,62 25
186,W,74,7192 05,1 16,8403 21,14 19,4644 08,21 78
186,Re,75,6179 38,0 17,5828 26,0 68,10212 23,20 98
186,Os,76,8265 38,0 88,6469 89,0 84,14460 85,11 67
186,Ir,77,6908 11,32 47,3655 44,16 55,19285 73,27 80
186,Pt,78,9247 62,33 77,4817 86,35 41,23182 42,24 54
186,Au,79,7928 03,21 13,2315 68,33 27,28568 64,26 90
186,Hg,80,10426 75,17 93,3969 92,11 94,32640 07,21 68
186,Tl,81,8200 19,30 45,991 92,26 19,*,16 24
186,Pb,82,11212 12,19 76,2213 26,23 59,*,02 15
186,Bi,83,8982 83,1106 04,23 36,*,12 21,17 9293
186,Po,84,*,83 *,13748 71,80 22,*,59 33
0187,Lu,71,5441 566,*,401 11631,643 9824,643 *,
187,Hf,72,4464 302,9895 499,8402 298,11782 422,8460 422,5370 585
187,Ta,73,6359 34,82 01,7760 31,75 82,2653 83,62 49
187,W,74,5466 76,0 04,8585 41,60 00,3218 92,24 08
187,Re,75,7360 71,0 87,5996 92,1 12,8188 64,22 32
187,Os,76,6290 32,0 52,6580 83,0 87,13101 01,13 92
187,Ir,77,8448 34,32 47,3838 40,27 96,17104 79,29 08
187,Pt,78,6891 92,32 42,4801 67,29 18,21698 09,24 58
187,Au,79,9384 30,30 61,2452 37,31 15,26644 57,24 45
187,Hg,80,7650 15,18 12,3692 05,25 16,30946 53,34 79
187,Tl,81,10629 29,23 76,1194 46,14 16,*,89 15
187,Pb,82,8376 25,12 45,2389 32,22 93,*,59 21
187,Bi,83,11308 38,19 60,1009 78,15 14,*,76 19
187,Po,84,9343 69,36 77,1314 16,36 08,*,87 6629
0188,Lu,71,4282 643,*,503 *,9574 711,*,
188,Hf,72,6134 422,10588 499,10258 298,10042 499,7873 422,3267 585
188,Ta,73,4787 80,78 38,8084 303,4732 88,55 76,13522 99
188,W,74,6835 16,3 20,9061 24,55 97,846 88,6 10
188,Re,75,5871 65,0 04,6401 81,1 12,6645 50,2 80
188,Os,76,7989 61,0 15,7209 73,0 15,10935 32,12 30
188,Ir,77,6866 85,29 49,4414 93,9 42,16008 51,31 35
188,Pt,78,9207 20,24 63,5560 53,28 44,20005 73,11 87
