N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
36,1.0,20,84,Po,-a,,11.013,7839.0,83    0.054 B-  -6465
34,1.0,19,85,At,-11875,-11875.433,22.288,7803.5,52    0.109 B-  -3905
32,1.0,18,86,Rn,-7970,-7970.193,7.444,7780.5,74    0.036 B-  -8577
30,1.0,17,87,Fr,-a,,24.581,7734.6,92    0.120 B-  -5449
28,1.0,16,88,Ra,-a,,15.273,7704.1,44    0.075 B-      *
0 51,1.0,28,77,Ir,-5960,,503#,7807#,2#    B-   7007
49,1.0,27,78,Pt,-12966,,298#,7837#,1#    B-   5803
47,1.0,26,79,Au,-18770,,196#,7861#,1#    B-   3518
45,1.0,25,80,Hg,-22287,-22287.74,3.654,7874.7,32    0.018 B-   1533
43,1.0,24,81,Tl,-23820,-23820.874,1.237,7878.3,94    0.006 B-    -50
41,1.0,23,82,Pb,-23770,-23770.239,1.144,7874.3,31    0.006 B-  -2705
39,1.0,22,83,Bi,-21064,-21064.504,5.111,7857.3,16    0.025 B-  -3543
37,1.0,21,84,Po,-17521,-17521.398,10.059,7836.2,16    0.049 B-  -4549
35,1.0,20,85,At,-12971,,15.085,7810.2,07    0.074 B-  -5262
33,1.0,19,86,Rn,-7709,-7709.786,5.080,7780.7,22    0.025 B-  -6399
31,1.0,18,87,Fr,-1309,,7.824,7745.6,86    0.038 B-  -7148
29,1.0,17,88,Ra,-a,,70.521,7706.9,98    0.344 B-  -8267
27,1.0,16,89,Ac,-a,,50.818,7662.8,51    0.248 B-      *
0 50,1.0,28,78,Pt,-9632,,298#,7822#,1#    B-   4583
48,1.0,27,79,Au,-14215,,298#,7840#,1#    B-   6731
46,1.0,26,80,Hg,-20945,,20.440,7869.1,72    0.099 B-   1307
44,1.0,25,81,Tl,-22253,-22253.367,1.284,7871.7,21    0.006 B-   1532
42,1.0,24,82,Pb,-23785,-23785.584,1.144,7875.3,62    0.006 B-  -3757
40,1.0,23,83,Bi,-20028,,7.632,7853.3,24    0.037 B-  -1839
38,1.0,22,84,Po,-a,,4.012,7840.5,97    0.019 B-  -5758
36,1.0,21,85,At,-12429,-12429.718,15.056,7808.8,43    0.073 B-  -3296
34,1.0,20,86,Rn,-9132,-9132.965,8.591,7789.0,41    0.042 B-  -7890
32,1.0,19,87,Fr,-a,,28.195,7746.9,40    0.137 B-  -4807
30,1.0,18,88,Ra,-a,,18.008,7719.8,02    0.087 B-  -9913
28,1.0,17,89,Ac,-a,,50.493,7667.8,79    0.245 B-      *
0 51,1.0,29,78,Pt,-4540,,401#,7798#,2#    B-   6270
49,1.0,28,79,Au,-10810,,300#,7825#,1#    B-   5677
47,1.0,27,80,Hg,-16487,,29.808,7848.6,10    0.144 B-   4547
