N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
0  1,,1,0,n,,8071.317,13    0.0004,6      0.0,0.0   B-    782
0  0,,1,1,H,,13135.721,76    0.0001,1   1112.2,83    0.000 B-      *
0  1,,2,1,H,,14949.809,93    0.0002,2   2827.2,65    0.000 B-     18
0  2,,3,1,H,-n,,100.000,1720.4,49   25.000 B-  22196
0,,2,2,He,,2424.915,61    0.0000,6   7073.9,15    0.000 B- -22898
0  3,,4,1,H,-nn,,89.443,1336.3,59   17.889 B-  21661
1,,3,2,He,-n,,20.000,5512.1,32    4.000 B-   -447
0  4,,5,1,H,-3n,,254.127,961.6,39   42.354 B-  24283
2,,4,2,He,,17592.095,0.053,4878.5,19    0.009 B-   3505
0,,3,3,Li,,14086.878,95    0.0014,4   5332.3,31    0.000 B-  -4288
0  5,,6,1,H,-nn,,1004#,940#,143#    B-  23062
3,,5,2,He,-n,,7.559,4123.0,57    1.080 B-  11166
1,,4,3,Li,,14907.105,29    0.0042,3   5606.4,39    0.001 B-   -861
0  4,,6,2,He,,31609.681,0.089,3924.5,20    0.011 B-  10663
2,,5,3,Li,,20945.804,0.047,5159.7,12    0.006 B-  16004
0,,4,4,Be,-a,,0.035,7062.4,35    0.004 B- -17979
0  5,,7,2,He,,40935.826,46.816,3349.0,37    5.202 B-  15980
3,,6,3,Li,-3n,,0.186,5037.7,68    0.021 B-  13606
1,,5,4,Be,,11348.453,0.077,6462.6,68    0.009 B-  -1068
0  6,,8,2,He,-nn,,92.848,2995.1,34    9.285 B-  16144
4,,7,3,Li,-n,,12.721,4531.3,51    1.272 B-  20445
2,,6,4,Be,,12607.488,0.081,6497.6,30    0.008 B-    556
0,,5,5,B,,12050.609,0.015,6475.0,83    0.002 B-  -3648
0  5,,8,3,Li,,,0.615,4155.3,81    0.056 B-  20551
3,,7,4,Be,,20177.167,0.238,5952.5,40    0.022 B-  11509
1,,6,5,B,,8667.707,0.012,6927.7,32    0.001 B-  -1981
0  6,,9,3,Li,-n,,30.006,3791.6,00    2.501 B-  23931
4,,8,4,Be,,25077.76,1.909,5720.7,22    0.159 B-  11708
2,,7,5,B,,13369.397,1.321,6631.2,23    0.110 B-  13369
0,,6,6,C,,0.0,0.0,7680.1,44    0.000 B- -17338
0  7,,10,3,Li,-nn,,70.003,3507.6,30    5.385 B-  23321
5,,9,4,Be,-n,,10.180,5241.4,35    0.783 B-  17097
3,,8,5,B,-nn,,1.000,6496.4,19    0.077 B-  13436
1,,7,6,C,,3125.008,88    0.0002,1   7469.8,49    0.000 B-  -2220
0  6,,10,4,Be,,,132.245,4993.8,97    9.446 B-  16290
4,,9,5,B,,23663.685,21.213,6101.6,44    1.515 B-  20643
2,,8,6,C,,3019.892,78    0.0037,6   7520.3,19    0.000 B-    156
0,,7,7,N,,2863.416,72    0.0001,9   7475.6,14    0.000 B-  -5144
0  7,,11,4,Be,-n,,165.797,4540.9,70   11.053 B-  20867
5,,10,5,B,,28958.242,21.032,5879.9,85    1.402 B-  19085
3,,9,6,C,-n,,0.800,7100.1,69    0.053 B-   9771
1,,8,7,N,,101.438,71    0.0006,0   7699.4,60    0.000 B-  -2754
0  8,,12,4,Be,-nn,,165.797,4285.2,85   10.362 B-  20334
6,,11,5,B,,37112.51,24.569,5507.3,02    1.536 B-  23418
4,,10,6,C,-nn,,3.578,6922.0,54    0.224 B-   8010
2,,9,7,N,-n,,2.301,7373.7,96    0.144 B-  10420
0,,8,8,O,-4737,-4737.001,35    0.0001,6   7976.2,06    0.000 B- -15417
0  7,,12,5,B,,,204.104,5269.6,67   12.006 B-  22684
5,,11,6,C,-n,,17.365,6558.0,24    1.021 B-  13161
3,,10,7,N,,,15.000,7286.2,29    0.882 B-   8678
1,,9,8,O,-808,-808.763,48    0.0006,6   7750.7,28    0.000 B-  -2760
0  8,,13,5,B,-n,,204.165,4976.6,30   11.342 B-  26873
6,,12,6,C,,,30.000,6426.1,31    1.667 B-  11806
4,,11,7,N,,,18.570,7038.5,62    1.032 B-  13895
2,,10,8,O,-782,-782.815,60    0.0007,1   7767.0,97    0.000 B-  -1655
0,,9,9,F,,873.113,0.463,7631.6,38    0.026 B-  -4444
0  9,,14,5,B,,,525.363,4719.6,34   27.651 B-  27356
7,,13,6,C,-n,,98.389,6118.2,73    5.178 B-  16557
5,,12,7,N,-2n,,16.404,6948.5,43    0.863 B-  12523
3,,11,8,O,-n,,2.637,7566.4,95    0.139 B-   4820
1,,10,9,F,-1487,-1487.444,20    0.0008,6   7779.0,18    0.000 B-  -3239
0 10,,15,5,B,,,800#,4453#,40#    B-  30946
8,,14,6,C,,,230.625,5961.4,35   11.531 B-  15737
6,,13,7,N,,,78.894,6709.1,71    3.945 B-  17970
4,,12,8,O,-nn,,0.885,7568.5,70    0.044 B-   3813
2,,11,9,F,-n,,0.030,7720.1,34    0.002 B-   7024
0,,10,10,Ne,-7041,-7041.93,55    0.0015,7   8032.2,40    0.000 B- -13892
0 11,,16,5,B,,,900#,4203#,43#    B-  31687
9,,15,6,C,,,596#,5674#,28#    B-  20411
7,,14,7,N,,,134.048,6609.0,15    6.383 B-  17169
5,,13,8,O,-3n,,12.000,7389.3,74    0.571 B-   8109
3,,12,9,F,-nn,,1.800,7738.2,93    0.086 B-   5684
1,,11,10,Ne,-5731,-5731.776,0.038,7971.7,13    0.002 B-  -3547
0 10,,16,6,C,-nn,,231.490,5421.0,77   10.522 B-  21846
8,,15,7,N,,,207.779,6378.5,34    9.445 B-  22481
6,,14,8,O,-4n,,56.921,7364.8,71    2.587 B-   6489
4,,13,9,F,,,12.399,7624.2,95    0.564 B-  10818
2,,12,10,Ne,-8024,-8024.719,0.018,8080.4,65    0.001 B-  -2843
0,,11,11,Na,-5181,-5181.511,0.171,7915.6,67    0.008 B-  -4781
0 11,,17,6,C,,,997#,5077#,43#    B-  27450
9,,16,7,N,,,420.570,6236.6,71   18.286 B-  22099
7,,15,8,O,,,121.712,7163.4,85    5.292 B-  11336
5,,14,9,F,,3285.263,33.320,7622.3,44    1.449 B-   8439
3,,13,10,Ne,-n,,0.104,7955.2,56    0.005 B-   4375
1,,12,11,Na,-9529,-9529.852,48    0.0018,1   8111.4,93    0.000 B-  -4056
0 10,,17,7,N,,,401#,5887#,17#    B-  28438
8,,16,8,O,,,164.874,7039.6,85    6.870 B-  10955
6,,15,9,F,,,97.670,7463.5,82    4.070 B-  13496
4,,14,10,Ne,-nn,,0.513,7993.3,25    0.021 B-   2466
2,,13,11,Na,-n,,0.017,8063.4,88    0.001 B-   5515
0,,12,12,Mg,-13933,-13933.569,0.013,8260.7,09    0.001 B- -13884
0 11,,18,7,N,,,503#,5613#,20#    B-  28654
9,,17,8,O,-n,,165.084,6727.8,05    6.603 B-  15994
7,,16,9,F,,,96.442,7336.3,06    3.858 B-  13369
5,,15,10,Ne,-2035,-2035.502,29.045,7839.7,99    1.162 B-   7322
3,,14,11,Na,-nn,,1.200,8101.3,97    0.048 B-   3834
1,,13,12,Mg,-13192,-13192.783,0.047,8223.5,02    0.002 B-  -4276
0 10,,18,8,O,-nn,,164.950,6497.4,78    6.344 B-  16012
8,,17,9,F,,,111.199,7083.2,40    4.277 B-  18167
6,,16,10,Ne,,,18.429,7751.9,10    0.709 B-   7341
4,,15,11,Na,-6860,,3.502,8004.2,01    0.135 B-   9353
2,,14,12,Mg,-16214,-16214.542,0.030,8333.8,70    0.001 B-  -4004
0,,13,13,Al,-12210,-12210.151,0.067,8149.7,65    0.003 B-  -5069
0 11,,19,8,O,,,500#,6185#,19#    B-  19220
9,,18,9,F,,,389.830,6867.9,32   14.438 B-  18399
7,,17,10,Ne,,,90.770,7520.4,14    3.362 B-  12568
5,,16,11,Na,-5517,,3.726,7956.9,46    0.138 B-   9068
3,,15,12,Mg,-n,,0.050,8263.8,52    0.002 B-   2610
1,,14,13,Al,-17196,-17196.861,0.047,8331.5,53    0.002 B-  -4812
0 12,,20,8,O,,,699#,5988#,25#    B-  18338
10,,19,9,F,-n,,393.024,6614.7,92   14.037 B-  22441
8,,18,10,Ne,,,126.068,7388.3,46    4.502 B-  12288
6,,17,11,Na,-988,,10.246,7799.2,64    0.366 B-  14030
4,,16,12,Mg,-15018,,2.001,8272.4,13    0.071 B-   1831
2,,15,13,Al,-n,,0.077,8309.8,94    0.003 B-   4642
0,,14,14,Si,-21492,-21492.794,30    0.0004,9   8447.7,44    0.000 B- -14345
0 11,,20,9,F,,,525.363,6444.0,31   18.116 B-  21750
9,,19,10,Ne,,,149.505,7167.0,67    5.155 B-  15719
7,,18,11,Na,,2679.994,7.337,7682.1,51    0.253 B-  13282
5,,17,12,Mg,-10602,,11.400,8113.2,02    0.393 B-   7604
3,,16,13,Al,-18207,,0.345,8348.4,64    0.012 B-   3687
1,,15,14,Si,-21895,-21895.078,38    0.0005,6   8448.6,35    0.000 B-  -4942
0 12,,21,9,F,,,596#,6233#,20#    B-  24832
10,,20,10,Ne,,23280.117,253.250,7034.5,31    8.442 B-  14805
8,,19,11,Na,,8474.67,4.727,7501.9,68    0.158 B-  17358
6,,18,12,Mg,-8883,,3.447,8054.5,06    0.115 B-   6981
4,,17,13,Al,-15864,,2.888,8261.1,28    0.096 B-   8568
2,,16,14,Si,-n,,0.022,8520.6,54    0.001 B-  -4232
0,,15,15,P,-20200,,0.065,8353.5,06    0.002 B-  -6141
0 13,,22,9,F,-nn,,546#,6033#,18#    B-  24961
11,,21,10,Ne,,31181.591,266.195,6813.0,90    8.587 B-  18935
9,,20,11,Na,,,13.972,7398.6,77    0.451 B-  15368
7,,19,12,Mg,-3122,,3.074,7869.1,88    0.099 B-  11828
5,,18,13,Al,-14950,,2.236,8225.5,17    0.072 B-   7998
3,,17,14,Si,-n,,0.043,8458.2,91    0.001 B-   1491
1,,16,15,P,-24440,-24440.54,95    0.0006,7   8481.1,67    0.000 B-  -5398
0 12,,22,10,Ne,,,503#,6671#,16#    B-  18359
10,,21,11,Na,,,37.260,7219.8,81    1.164 B-  19469
8,,20,12,Mg,-828,,3.260,7803.8,40    0.102 B-  10270
6,,19,13,Al,-11099,,7.173,8100.3,44    0.224 B-  12978
4,,18,14,Si,-24077,,0.298,8481.4,68    0.009 B-    227
2,,17,15,P,-n,,0.040,8464.1,20    0.001 B-   1710
0,,16,16,S,-26015,-26015.533,55    0.0013,2   8493.1,29    0.000 B- -12680
0 13,,23,10,Ne,,,596#,6440#,18#    B-  22217
11,,22,11,Na,,,449.912,7089.9,26   13.634 B-  18817
9,,21,12,Mg,,,2.888,7636.4,55    0.088 B-  13459
7,,20,13,Al,-8497,,6.986,8020.6,16    0.212 B-  12016
5,,19,14,Si,-20514,,0.699,8361.0,59    0.021 B-   5823
3,,18,15,P,-26337,,1.090,8513.8,06    0.033 B-    248
1,,17,16,S,-26585,-26585.854,34    0.0013,5   8497.6,30    0.000 B-  -5582
0 14,,24,10,Ne,-nn,,513#,6287#,15#    B-  21161
12,,23,11,Na,,,599.416,6886.4,37   17.630 B-  23356
10,,22,12,Mg,,,28.876,7550.3,90    0.849 B-  11323
8,,21,13,Al,-3000,,3.074,7860.4,28    0.090 B-  16956
6,,20,14,Si,-19956,,14.118,8336.1,41    0.415 B-   4591
4,,19,15,P,-24548,,0.810,8448.1,85    0.024 B-   5382
2,,18,16,S,-29931,-29931.685,0.045,8583.4,98    0.001 B-  -5491
0,,17,17,Cl,-24440,-24440.082,0.049,8398.9,70    0.001 B-  -6061
0 13,,24,11,Na,-n,,670#,6733#,19#    B-  22592
11,,23,12,Mg,,,269.668,7356.2,33    7.705 B-  15863
9,,22,13,Al,-223,,7.359,7787.1,24    0.210 B-  14167
7,,21,14,Si,-n,,35.857,8169.5,63    1.024 B-  10466
5,,20,15,P,-24857,,1.866,8446.2,49    0.053 B-   3988
3,,19,16,S,-28846,-28846.206,0.040,8537.8,50    0.001 B-    167
1,,18,17,Cl,-29013,-29013.528,0.035,8520.2,78    0.001 B-  -5966
0 14,,25,11,Na,-n,,678#,6546#,19#    B-  25923
12,,24,12,Mg,,,690.237,7244.4,19   19.173 B-  14429
10,,23,13,Al,,,149.505,7623.5,15    4.153 B-  18386
8,,22,14,Si,-12436,,71.797,8112.5,19    1.994 B-   7814
6,,21,15,P,-20251,,13.114,8307.8,68    0.364 B-  10413
4,,20,16,S,-30664,-30664.131,0.188,8575.3,89    0.005 B-  -1142
2,,19,17,Cl,-29522,-29522.005,0.036,8521.9,31    0.001 B-    709
0,,18,18,Ar,-30231,-30231.54,0.027,8519.9,09    0.001 B- -12814
0 15,,26,11,Na,-nn,,687#,6392#,19#    B-  25323
13,,25,12,Mg,-n,,698.947,7055.1,11   18.890 B-  18401
11,,24,13,Al,,,180.244,7531.3,15    4.871 B-  16381
9,,23,14,Si,-6571,,113.809,7952.9,03    3.076 B-  12424
7,,22,15,P,-2n,,37.948,8267.5,55    1.026 B-   7900
5,,21,16,S,-n,,0.198,8459.9,35    0.005 B-   4865
3,,20,17,Cl,-31761,-31761.538,0.052,8570.2,81    0.001 B-   -813
1,,19,18,Ar,-30947,,0.207,8527.1,39    0.006 B-  -6147
0 14,,26,12,Mg,,,503#,6928#,13#    B-  17864
12,,25,13,Al,,,374.461,7377.0,97    9.854 B-  20380
10,,24,14,Si,-4170,,104.793,7892.8,29    2.758 B-  10451
8,,23,15,P,-14621,,72.581,8147.2,74    1.910 B-  12239
6,,22,16,S,-26861,,7.172,8448.7,82    0.189 B-   2936
4,,21,17,Cl,-n,,0.098,8505.4,81    0.003 B-   4916
2,,20,18,Ar,-34714,-34714.821,0.195,8614.2,80    0.005 B-  -5914
0,,19,19,K,-28800,-28800.755,0.195,8438.0,58    0.005 B-  -6742
0 15,,27,12,Mg,-n,,513#,6747#,13#    B-  21625
13,,26,13,Al,,,400#,7281#,10#    B-  18330
11,,25,14,Si,,,135.532,7730.9,79    3.475 B-  15094
9,,24,15,P,-12774,,112.645,8097.9,69    2.888 B-  10388
7,,23,16,S,-n,,50.000,8344.2,69    1.282 B-   6637
5,,22,17,Cl,-nn,,1.732,8494.4,02    0.044 B-   3441
3,,21,18,Ar,-33242,,5.000,8562.5,98    0.128 B-    565
1,,20,19,K,-33807,-33807.19,10    0.0045,8   8557.0,25    0.000 B-  -6524
0 16,,28,12,Mg,,,500#,6628#,13#    B-  20760
14,,27,13,Al,,,400#,7127#,10#    B-  22160
12,,26,14,Si,,,345.119,7661.7,54    8.628 B-  13544
10,,25,15,P,-8114,,153.582,7980.7,96    3.840 B-  14723
8,,24,16,S,-22837,-22837.846,3.982,8329.3,25    0.100 B-   4719
6,,23,17,Cl,-27557,,32.066,8427.7,65    0.802 B-   7482
4,,22,18,Ar,-35039,-35039.894,64    0.0022,4   8595.2,59    0.000 B-  -1504
2,,21,19,K,-33535,-33535.492,0.056,8538.0,90    0.001 B-   1310
0,,20,20,Ca,-34846,-34846.384,0.021,8551.3,03    0.001 B- -14323
0 15,,28,13,Al,,,500#,7008#,12#    B-  21300
13,,27,14,Si,,,554.705,7508.5,73   13.529 B-  17099
11,,26,15,P,-4979,,120.163,7906.5,51    2.931 B-  14028
9,,25,16,S,-19008,,4.099,8229.6,35    0.100 B-   8298
7,,24,17,Cl,-27307,,68.723,8412.9,59    1.676 B-   5760
5,,23,18,Ar,-n,,0.347,8534.3,72    0.008 B-   2492
3,,22,19,K,-35559,-35559.543,31    0.0038,0   8576.0,72    0.000 B-   -421
1,,21,20,Ca,-35137,-35137.89,0.138,8546.7,06    0.003 B-  -6495
0 16,,29,13,Al,,,600#,6874#,14#    B-  23630
14,,28,14,Si,,,500#,7418#,12#    B-  15460
12,,27,15,P,,,314.379,7767.8,66    7.485 B-  18647
10,,26,16,S,-17637,,2.794,8193.2,27    0.067 B-   7194
8,,25,17,Cl,-24831,,59.616,8345.8,86    1.419 B-   9590
6,,24,18,Ar,-34422,,5.775,8555.6,13    0.138 B-    599
4,,23,19,K,-n,,0.106,8551.2,56    0.003 B-   3525
2,,22,20,Ca,-38547,-38547.245,0.149,8616.5,63    0.004 B-  -6426
0,,21,21,Sc,-32121,-32121.153,0.169,8444.9,33    0.004 B-  -7016
0 17,,30,13,Al,,,800#,6741#,19#    B-  23919
15,,29,14,Si,,,596#,7279#,14#    B-  18421
13,,28,15,P,,,554.705,7689.5,72   12.900 B-  16875
11,,27,16,S,-12195,,4.970,8063.8,27    0.116 B-  11964
9,,26,17,Cl,-24159,,61.858,8323.8,66    1.439 B-   7850
7,,25,18,Ar,-32009,,5.310,8488.2,37    0.123 B-   4565
5,,24,19,K,-4n,,0.410,8576.2,20    0.010 B-   1833
3,,23,20,Ca,-38408,-38408.822,0.228,8600.6,63    0.005 B-  -2220
1,,22,21,Sc,-p,,1.863,8530.8,25    0.043 B-  -6867
0 16,,30,14,Si,,,596#,7174#,14#    B-  18063
14,,29,15,P,,,500#,7567#,11#    B-  19655
12,,28,16,S,-9204,,5.216,7996.0,15    0.119 B-  11180
10,,27,17,Cl,-20384,,136.321,8232.3,32    3.098 B-  12288
8,,26,18,Ar,-32673,,1.584,8493.8,40    0.036 B-   3108
6,,25,19,K,-35781,,0.419,8546.7,01    0.010 B-   5687
4,,24,20,Ca,-41468,-41468.675,0.325,8658.1,75    0.007 B-  -3652
2,,23,21,Sc,-p,,1.756,8557.3,79    0.040 B-   -267
0,,22,22,Ti,-a,,0.700,8533.5,20    0.016 B- -13432
0 17,,31,14,Si,,,700#,6995#,16#    B-  21890
15,,30,15,P,,,500#,7464#,11#    B-  19589
13,,29,16,S,-3989,,1035.356,7881.8,07   23.008 B-  14272
11,,28,17,Cl,-18262,,136.163,8181.5,98    3.026 B-  11508
9,,27,18,Ar,-29770,,0.512,8419.9,52    0.011 B-   6844
7,,26,19,K,-36615,,0.522,8554.6,74    0.012 B-   4196
5,,25,20,Ca,-40812,-40812.174,0.366,8630.5,45    0.008 B-    259
3,,24,21,Sc,-41071,-41071.896,0.675,8618.9,31    0.015 B-  -2062
1,,23,22,Ti,-39009,-39009.84,0.845,8555.7,22    0.019 B-  -7123
0 16,,31,15,P,,,700#,7317#,15#    B-  22630
14,,30,16,S,,,500#,7792#,11#    B-  14199
12,,29,17,Cl,-13859,,208.661,8083.4,80    4.536 B-  15913
10,,28,18,Ar,-29772,,1.118,8412.4,19    0.024 B-   5640
8,,27,19,K,-35413,,0.727,8518.0,42    0.016 B-   7725
6,,26,20,Ca,-43139,-43139.361,2.235,8668.9,79    0.049 B-  -1378
4,,25,21,Sc,-n,,0.683,8622.0,12    0.015 B-   2366
2,,24,22,Ti,-44127,-44127.799,0.165,8656.4,51    0.004 B-  -7052
0,,23,23,V,-37075,-37075.351,0.202,8486.1,30    0.004 B-  -7603
0 17,,32,15,P,,,800#,7190#,17#    B-  22340
15,,31,16,S,,,500#,7648#,11#    B-  17150
13,,30,17,Cl,-9780,,400#,7996#,9#    B-  15587
11,,29,18,Ar,-25366,,1.118,8311.4,04    0.024 B-  10345
9,,28,19,K,-35711,,1.397,8514.8,79    0.030 B-   6632
7,,27,20,Ca,-42344,-42344.418,2.222,8639.3,49    0.047 B-   1992
5,,26,21,Sc,-44336,-44336.595,1.933,8665.0,90    0.041 B-    600
3,,25,22,Ti,-44937,-44937.364,0.115,8661.2,27    0.002 B-  -2930
1,,24,23,V,-42006,-42006.618,0.169,8582.2,25    0.004 B-  -7444
0 16,,32,16,S,,,596#,7545#,12#    B-  17042
14,,31,17,Cl,-4280,,500#,7883#,10#    B-  18001
12,,30,18,Ar,-22281,,307.393,8242.1,32    6.404 B-  10003
10,,29,19,K,-32284,,0.773,8434.2,32    0.016 B-  11940
8,,28,20,Ca,-44224,-44224.629,0.096,8666.6,86    0.002 B-    279
6,,27,21,Sc,-44503,-44503.842,4.951,8656.2,04    0.103 B-   3988
4,,26,22,Ti,-48492,-48492.709,0.109,8723.0,06    0.002 B-  -4015
2,,25,23,V,-44477,-44477.694,0.975,8623.0,61    0.020 B-  -1655
0,,24,24,Cr,-42822,,7.324,8572.2,69    0.153 B- -13525
0 17,,33,16,S,-n,,667#,7385#,14#    B-  20153
15,,32,17,Cl,,,600#,7781#,12#    B-  18130
13,,31,18,Ar,-17190,,400#,8135#,8#    B-  12422
11,,30,19,K,-29611,,0.801,8372.2,74    0.016 B-  11688
9,,29,20,Ca,-n,,0.201,8594.8,44    0.004 B-   5261
7,,28,21,Sc,-46561,-46561.265,2.698,8686.2,56    0.055 B-   2002
5,,27,22,Ti,-48563,-48563.787,0.114,8711.1,57    0.002 B-   -601
3,,26,23,V,-47961,,0.828,8682.9,08    0.017 B-  -2628
1,,25,24,Cr,-45333,-45333.06,2.243,8613.2,91    0.046 B-  -7712
0 16,,33,17,Cl,,,600#,7651#,12#    B-  21069
14,,32,18,Ar,-13330,,500#,8056#,10#    B-  12398
12,,31,19,K,-25727,,7.731,8288.5,82    0.155 B-  13861
10,,30,20,Ca,-39589,,1.584,8550.1,63    0.032 B-   4958
8,,29,21,Sc,-pn,,15.000,8633.6,79    0.300 B-   6884
6,,28,22,Ti,-51431,-51431.66,0.121,8755.7,18    0.002 B-  -2207
4,,27,23,V,-49224,,0.409,8695.9,18    0.008 B-   1038
2,,26,24,Cr,-50262,-50262.072,0.437,8701.0,32    0.009 B-  -7634
0,,25,25,Mn,-42627,-42627.595,0.442,8532.6,96    0.009 B-  -8151
0 17,,34,17,Cl,,,700#,7530#,14#    B-  20980
15,,33,18,Ar,-6690,,600#,7926#,12#    B-  15826
13,,32,19,K,-22516,,13.047,8221.3,49    0.256 B-  13816
11,,31,20,Ca,-36332,,0.522,8476.9,13    0.010 B-   6896
9,,30,21,Sc,-p2n,,20.000,8596.7,96    0.392 B-   6504
7,,29,22,Ti,-n,,0.505,8708.9,88    0.010 B-   2471
5,,28,23,V,-52203,-52203.842,0.401,8742.0,99    0.008 B-   -752
3,,27,24,Cr,-51451,-51451.395,0.400,8712.0,05    0.008 B-  -3207
1,,26,25,Mn,-48243,-48243.877,0.502,8633.7,72    0.010 B-  -8041
0 16,,34,18,Ar,-1280,,600#,7825#,12#    B-  15858
14,,33,19,K,-17137,,33.534,8115.0,29    0.645 B-  17128
12,,32,20,Ca,-34266,,0.671,8429.3,81    0.013 B-   6177
10,,31,21,Sc,-40443,,81.852,8533.1,25    1.574 B-   9026
8,,30,22,Ti,-nn,,7.072,8691.6,67    0.136 B-   1973
6,,29,23,V,-n,,0.420,8714.5,82    0.008 B-   3975
4,,28,24,Cr,-55419,-55419.242,0.340,8775.9,89    0.007 B-  -4711
2,,27,25,Mn,-50707,-50707.284,1.845,8670.3,29    0.035 B-  -2376
0,,26,26,Fe,-48330,-48330.363,5.117,8609.5,74    0.098 B- -13969
0 17,,35,18,Ar,,,699#,7677#,13#    B-  19086
15,,34,19,K,-12295,,111.779,8022.8,48    2.109 B-  17091
13,,33,20,Ca,-29387,,43.780,8330.5,77    0.826 B-   9519
11,,32,21,Sc,-38906,,94.087,8495.4,21    1.775 B-   7924
9,,31,22,Ti,-46831,,100.049,8630.1,74    1.888 B-   5020
7,,30,23,V,-51851,,3.120,8710.1,30    0.059 B-   3435
5,,29,24,Cr,-55286,-55286.999,0.348,8760.1,98    0.007 B-   -596
3,,28,25,Mn,-54690,-54690.116,0.450,8734.1,75    0.009 B-  -3742
1,,27,26,Fe,-50947,-50947.53,1.656,8648.7,99    0.031 B-  -8288
0 16,,35,19,K,-5002,,596#,7889#,11#    B-  20158
14,,34,20,Ca,-25160,,48.438,8247.4,96    0.897 B-   8730
12,,33,21,Sc,-33890,,272.800,8394.6,81    5.052 B-  11731
10,,32,22,Ti,-45621,,82.461,8597.4,35    1.527 B-   4271
8,,31,23,V,-49893,,15.004,8662.0,43    0.278 B-   7041
6,,30,24,Cr,-56934,-56934.765,0.353,8777.9,55    0.007 B-  -1377
4,,29,25,Mn,-p,,1.059,8737.9,65    0.020 B-    696
2,,28,26,Fe,-56254,-56254.5,0.372,8736.3,82    0.007 B-  -8244
0,,27,27,Co,-48009,-48009.953,0.383,8569.2,17    0.007 B-  -8731
0 17,,36,19,K,,,699#,7788#,13#    B-  19058
15,,35,20,Ca,-18350,,300#,8120#,5#    B-  11809
13,,34,21,Sc,-30159,,454.342,8320.9,55    8.261 B-  11508
11,,33,22,Ti,-41668,-41668.088,161.602,8515.9,80    2.938 B-   7476
9,,32,23,V,-49144,-49144.586,95.104,8637.6,92    1.729 B-   5965
7,,31,24,Cr,-55109,-55109.71,0.399,8731.9,24    0.007 B-   2602
5,,30,25,Mn,-57712,-57712.413,0.303,8765.0,22    0.006 B-   -231
3,,29,26,Fe,-57481,-57481.3,0.342,8746.5,95    0.006 B-  -3451
1,,28,27,Co,-54029,-54029.883,0.428,8669.6,18    0.008 B-  -8694
0 18,,37,19,K,,,801#,7664#,14#    B-  21825
16,,36,20,Ca,-13898,,400#,8040#,7#    B-  10954
14,,35,21,Sc,-24852,,586.841,8221.7,28   10.479 B-  14467
12,,34,22,Ti,-39320,-39320.048,121.247,8466.1,10    2.165 B-   6834
10,,33,23,V,-46154,-46154.881,176.898,8574.1,91    3.159 B-   9130
8,,32,24,Cr,-55285,,0.603,8723.2,58    0.011 B-   1626
6,,31,25,Mn,-n,,0.331,8738.3,33    0.006 B-   3695
4,,30,26,Fe,-60607,-60607.082,0.302,8790.3,54    0.005 B-  -4566
2,,29,27,Co,-56040,-56040.402,0.493,8694.8,36    0.009 B-  -2132
0,,28,28,Ni,-53907,-53907.539,0.422,8642.7,79    0.008 B- -15264
0 17,,37,20,Ca,-6874,,400#,7917#,7#    B-  14121
15,,36,21,Sc,-20995,,1304.092,8151.4,33   22.879 B-  12919
13,,35,22,Ti,-33915,,256.417,8364.3,70    4.499 B-  10497
11,,34,23,V,-44413,,80.479,8534.8,17    1.412 B-   8111
9,,33,24,Cr,-52524,,1.068,8663.3,94    0.019 B-   4961
7,,32,25,Mn,-57486,-57486.251,1.505,8736.7,13    0.026 B-   2695
5,,31,26,Fe,-60181,-60181.839,0.304,8770.2,79    0.005 B-   -836
3,,30,27,Co,-59345,-59345.564,0.533,8741.8,82    0.009 B-  -3261
1,,29,28,Ni,-56083,-56083.833,0.582,8670.9,33    0.010 B-  -8774
0 18,,38,20,Ca,-1919,,500#,7835#,9#    B-  12957
16,,37,21,Sc,-14876,,400#,8045#,7#    B-  16234
14,,36,22,Ti,-31110,,200#,8311#,3#    B-   9292
12,,35,23,V,-40401,,89.374,8457.6,58    1.541 B-  11590
10,,34,24,Cr,-51991,,1.490,8643.9,98    0.026 B-   3835
8,,33,25,Mn,-55827,,2.701,8696.6,43    0.047 B-   6327
6,,32,26,Fe,-62155,-62155.113,0.343,8792.2,50    0.006 B-  -2307
4,,31,27,Co,-59847,-59847.158,1.160,8738.9,69    0.020 B-    381
2,,30,28,Ni,-60228,-60228.744,0.373,8732.0,59    0.006 B-  -8561
0,,29,29,Cu,-51667,-51667.725,0.578,8570.9,67    0.010 B-  -9368
0 17,,38,21,Sc,-10302,,400#,7967#,7#    B-  15208
15,,37,22,Ti,-25510,,200#,8212#,3#    B-  12322
13,,36,23,V,-37832,,161.874,8407.5,55    2.744 B-  10253
11,,35,24,Cr,-48085,,216.367,8568.0,87    3.667 B-   7439
9,,34,25,Mn,-55525,,2.329,8680.9,21    0.039 B-   5139
7,,33,26,Fe,-60664,-60664.805,0.355,8754.7,71    0.006 B-   1564
5,,32,27,Co,-62229,-62229.709,0.418,8768.0,35    0.007 B-  -1073
3,,31,28,Ni,-61156,-61156.707,0.374,8736.5,88    0.006 B-  -4798
1,,30,29,Cu,-56358,-56358.327,0.544,8642.0,00    0.009 B-  -9142
0 18,,39,21,Sc,-4052,,500#,7865#,8#    B-  18278
16,,38,22,Ti,-22330,,300#,8157#,5#    B-  10912
