N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
34,1.0,20,86,Rn,-9132,-9132.965,8.591,7789.0,41.0
45,1.0,26,81,Tl,-21034,-21034.451,5.439,7866.7,97.0
43,1.0,25,82,Pb,-22452,-22452.047,1.147,7869.8,66.0
41,1.0,24,83,Bi,-20054,-20054.627,2.397,7854.5,5.0
39,1.0,23,84,Po,-17145,-17145.775,6.659,7836.6,73.0
33,1.0,20,87,Fr,-2844,-2844.341,17.505,7756.2,46.0
44,1.0,26,82,Pb,-21748,-21748.598,1.148,7867.4,53.0
34,1.0,21,87,Fr,-2665,-2665.919,11.834,7756.9,3.0
45,1.0,27,82,Pb,-17614,-17614.646,1.747,7848.6,48.0
43,1.0,26,83,Bi,-18258,-18258.662,1.364,7847.9,87.0
39,1.0,24,85,At,-12882,-12882.613,5.102,7814.7,77.0
37,1.0,23,86,Rn,-8941,-8941.049,9.96,7792.1,75.0
46,1.0,28,82,Pb,-14728,-14728.502,1.447,7835.9,65.0
44,1.0,27,83,Bi,-14791,-14791.979,1.363,7832.5,42.0
42,1.0,26,84,Po,-15953,-15953.137,1.146,7834.3,46.0
36,1.0,23,87,Fr,-3333,-3333.205,15.154,7763.0,75.0
47,1.0,29,82,Pb,-10492,-10492.948,2.261,7817.0,7.0
45,1.0,28,83,Bi,-11859,-11859.131,5.442,7819.7,74.0
37,1.0,24,87,Fr,-4140,-4140.249,11.991,7768.3,60.0
48,1.0,30,82,Pb,-7548,-7548.85,1.842,7804.3,19.0
46,1.0,29,83,Bi,-8117,-8117.954,1.854,7803.3,13.0
44,1.0,28,84,Po,-10369,-10369.487,1.152,7810.2,43.0
38,1.0,25,87,Fr,-3515,-3515.968,8.775,7766.8,45.0
47,1.0,30,83,Bi,-5231,-5231.635,5.082,7791.0,21.0
45,1.0,29,84,Po,-6653,-6653.584,3.053,7794.0,24.0
39,1.0,26,87,Fr,-3552,-3552.848,5.091,7768.4,47.0
50,1.0,32,82,Pb,-182,-182.769,1.975,7772.3,94.0
48,1.0,31,83,Bi,-1200,-1200.753,11.209,7773.4,95.0
46,1.0,30,84,Po,-4470,-4470.046,1.449,7785.1,16.0
47,1.0,31,84,Po,-541,-541.706,2.121,7768.1,76.0
