A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
261,Lr,103,6790.0,3343.0,13575.0,16190.0,12944.0,13518.0
262,No,102,6425.0,5766.0,8265.0,14260.0,11341.0,12043.0
262,Lr,103,5528.0,3642.0,12440.0,17201.0,12887.0,14124.0
263,No,102,5043.0,5787.0,7061.0,15262.0,11441.0,13010.0
263,Lr,103,6444.0,3661.0,10767.0,15985.0,12981.0,12824.0
263,Rf,104,5708.0,4635.0,14922.0,15909.0,11343.0,14790.0
264,Lr,103,5424.0,4041.0,9681.0,16986.0,12786.0,13445.0
264,Rf,104,6750.0,4941.0,13487.0,14686.0,11383.0,13268.0
265,Lr,103,6215.0,4066.0,8182.0,15815.0,12996.0,12253.0
265,Rf,104,5458.0,4976.0,12210.0,15672.0,11452.0,14235.0
265,Db,105,6950.0,2883.0,16195.0,16438.0,12954.0,14028.0
266,Rf,104,6685.0,5446.0,11060.0,14410.0,11211.0,12593.0
266,Db,105,5818.0,3242.0,15225.0,17371.0,12845.0,14654.0
267,Rf,104,4703.0,5467.0,9209.0,15922.0,11931.0,14080.0
267,Db,105,6734.0,3291.0,13717.0,16095.0,12861.0,13344.0
267,Sg,106,5883.0,4220.0,18074.0,16034.0,11308.0,15375.0
268,Db,105,5084.0,3671.0,12089.0,17696.0,13236.0,14475.0
268,Sg,106,7075.0,4561.0,16847.0,14776.0,11183.0,13758.0
269,Db,105,5985.0,3616.0,10222.0,16415.0,13936.0,13173.0
269,Sg,106,5110.0,4588.0,15072.0,16399.0,11890.0,15333.0
270,Sg,106,6343.0,4946.0,13187.0,15140.0,12281.0,13693.0
271,Sg,106,4805.0,4839.0,11191.0,16320.0,12560.0,14928.0
272,Bh,107,5203.0,3257.0,13984.0,18009.0,13891.0,15288.0
273,Bh,107,6228.0,3236.0,12062.0,16587.0,14006.0,13973.0
276,Hs,108,6405.0,4694.0,12067.0,15315.0,12516.0,13914.0
278,Mt,109,5304.0,3046.0,13153.0,18161.0,13980.0,15691.0
