A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
6,Li,3,27378.0,212.0,25112.0,100.0,1473.0,0.0
7,Li,3,12914.0,50.0,32563.0,89.0,2467.0,0.0
8,Li,3,9283.0,0.0,35507.0,254.0,6100.0,100.0
8,Be,4,29576.0,5.0,27228.0,0.0,91.0,0.0
9,Li,3,6094.0,0.0,38758.0,10362.0,89.0,12538.0
9,Be,4,20563.0,0.0,29302.0,7.0,2307.0,20.0
9,B,5,31402.0,25.0,17068.0,0.0,1687.0,50.0
10,Be,4,8476.0,0.0,33580.0,0.0,7409.0,0.0
10,B,5,27013.0,1.0,23473.0,0.0,4461.0,0.0
10,C,6,35508.0,18.0,3820.0,0.0,5101.0,5.0
11,Be,4,7313.0,0.0,35336.0,46.0,8320.0,7.0
11,B,5,19891.0,0.0,30865.0,0.0,8664.0,0.0
11,C,6,34404.0,2.0,15277.0,0.0,7544.0,0.0
12,Be,4,3672.0,1.0,38697.0,92.0,8956.0,1.0
12,B,5,14823.0,1.0,34261.0,12.0,10001.0,1.0
12,C,6,31841.0,0.0,27185.0,0.0,7366.0,0.0
12,N,7,37604.0,400.0,9290.0,1.0,8008.0,1.0
13,B,5,8248.0,1.0,38744.0,1.0,10817.0,1.0
13,C,6,23667.0,0.0,31630.0,0.0,10648.0,0.0
13,N,7,35100.0,46.0,17900.0,0.0,9495.0,0.0
14,B,5,5848.0,21.0,39923.0,36.0,11813.0,24.0
14,C,6,13122.0,0.0,36635.0,1.0,12012.0,0.0
14,N,7,30617.0,1.0,25083.0,1.0,11612.0,0.0
14,O,8,40049.0,24.0,6570.0,0.0,10115.0,0.0
15,B,5,3746.0,21.0,42600.0,73.0,14194.0,21.0
15,C,6,9394.0,0.0,38363.0,10.0,12728.0,0.0
15,N,7,21386.0,0.0,31038.0,1.0,10991.0,0.0
15,O,8,36402.0,9.0,14847.0,0.0,10218.0,0.0
16,C,6,5468.0,3.0,40838.0,132.0,13808.0,4.0
16,N,7,13322.0,2.0,32557.0,21.0,10110.0,2.0
16,O,8,28887.0,0.0,22334.0,0.0,7161.0,0.0
16,F,9,37426.0,41.0,6761.0,8.0,9082.0,8.0
17,C,6,4983.0,17.0,43371.0,166.0,15052.0,20.0
17,N,7,8373.0,15.0,35666.0,25.0,11116.0,15.0
17,O,8,19807.0,0.0,25259.0,0.0,6358.0,0.0
17,F,9,30757.0,14.0,12727.0,0.0,5818.0,0.0
17,Ne,10,39857.0,66.0,933.0,0.0,9039.0,9.0
18,C,6,4917.0,30.0,47105.0,168.0,17460.0,135.0
18,N,7,8713.0,18.0,38577.0,30.0,12975.0,28.0
18,O,8,12188.0,0.0,29054.0,3.0,6227.0,0.0
18,F,9,25949.0,8.0,19388.0,2.0,4415.0,0.0
18,Ne,10,34811.0,20.0,4523.0,0.0,5115.0,0.0
19,N,7,8156.0,22.0,42437.0,204.0,15526.0,26.0
19,O,8,12001.0,2.0,32276.0,17.0,8965.0,2.0
19,F,9,19581.0,0.0,23935.0,15.0,4013.0,0.0
19,Ne,10,30891.0,0.0,12017.0,0.0,3528.0,0.0
19,Na,11,38386.0,1001.0,3600.0,10.0,6062.0,17.0
20,N,7,7489.0,81.0,44604.0,218.0,17770.0,82.0
20,O,8,11563.0,0.0,35701.0,30.0,12322.0,3.0
20,F,9,17033.0,0.0,27708.0,18.0,8126.0,2.0
20,Ne,10,28502.0,0.0,20837.0,0.0,4729.0,0.0
20,Na,11,34330.0,93.0,8600.0,1.0,6254.0,8.0
21,N,7,6767.0,135.0,49116.0,542.0,20909.0,244.0
21,O,8,11413.0,12.0,38929.0,99.0,15394.0,21.0
21,F,9,14702.0,1.0,30481.0,16.0,10342.0,15.0
21,Ne,10,23626.0,0.0,23642.0,2.0,7347.0,0.0
21,Na,11,31256.0,10.0,15275.0,0.0,6561.0,0.0
21,Mg,12,37067.0,50.0,5426.0,0.0,8021.0,0.0
22,N,7,6144.0,222.0,51263.0,22452.0,291.0,28971.0
22,O,8,10655.0,56.0,42798.0,237.0,18061.0,64.0
22,F,9,13331.0,12.0,33551.0,79.0,12744.0,22.0
22,Ne,10,17125.0,0.0,26398.0,0.0,9666.0,0.0
22,Na,11,28174.0,1.0,19741.0,0.0,8479.0,0.0
22,Mg,12,34020.0,1.0,7935.0,0.0,8142.0,0.0
23,N,7,4654.0,441.0,55187.0,25474.0,672.0,33435.0
23,O,8,9583.0,122.0,45600.0,20217.0,156.0,19775.0
23,F,9,12809.0,33.0,36524.0,138.0,14995.0,37.0
23,Ne,10,15564.0,0.0,27794.0,12.0,10911.0,2.0
23,Na,11,23487.0,0.0,24060.0,1.0,10467.0,0.0
23,Mg,12,32520.0,0.0,14319.0,0.0,9650.0,0.0
24,O,8,6925.0,174.0,49688.0,284.0,21428.0,283.0
24,F,9,11391.0,98.0,38798.0,229.0,16646.0,125.0
24,Ne,10,14069.0,0.0,29812.0,56.0,12172.0,1.0
24,Na,11,19379.0,0.0,25789.0,12.0,10825.0,0.0
24,Mg,12,29676.0,0.0,20486.0,0.0,9316.0,0.0
24,Al,13,34393.0,9445.0,0.0,9324.0,1.0,33368.0
25,O,8,3434.0,205.0,51420.0,20739.0,29364.0,167.0
25,F,9,8093.0,102.0,39964.0,431.0,16322.0,165.0
25,Ne,10,13024.0,29.0,31234.0,125.0,12522.0,31.0
25,Na,11,15970.0,1.0,27221.0,33.0,11735.0,2.0
25,Mg,12,23861.0,0.0,22616.0,0.0,9885.0,0.0
25,Al,13,31806.0,0.0,13964.0,0.0,9156.0,0.0
26,F,9,5038.0,148.0,42867.0,15540.0,235.0,25509.0
26,Ne,10,9709.0,18.0,32597.0,165.0,11226.0,59.0
26,Na,11,14585.0,3.0,28983.0,97.0,12079.0,12.0
26,Mg,12,18423.0,0.0,24840.0,0.0,10614.0,0.0
26,Al,13,28303.0,0.0,18370.0,0.0,9453.0,0.0
26,Si,14,34028.0,19.0,7785.0,0.0,9166.0,0.0
27,F,9,2026.0,401.0,45110.0,13695.0,573.0,30968.0
27,Ne,10,7056.0,95.0,34856.0,188.0,9995.0,151.0
27,Na,11,12302.0,3.0,31429.0,96.0,11227.0,33.0
27,Mg,12,17536.0,0.0,27129.0,29.0,11857.0,0.0
27,Al,13,24423.0,0.0,22416.0,1.0,10091.0,0.0
27,Si,14,32354.0,10.0,13769.0,0.0,9335.0,0.0
28,Ne,10,5324.0,127.0,37939.0,207.0,9625.0,207.0
28,Na,11,10270.0,10.0,34215.0,111.0,10957.0,98.0
28,Mg,12,14946.0,2.0,30077.0,18.0,11492.0,2.0
28,Al,13,20783.0,0.0,24567.0,3.0,10857.0,0.0
28,Si,14,30494.0,0.0,19856.0,0.0,9984.0,0.0
28,P,15,34263.0,9515.0,1.0,9523.0,1.0,34664.0
29,Ne,10,4793.0,174.0,40848.0,11354.0,222.0,29002.0
29,Na,11,7944.0,8.0,37348.0,389.0,11079.0,96.0
29,Mg,12,12158.0,11.0,32231.0,91.0,10992.0,31.0
29,Al,13,17153.0,0.0,27267.0,3.0,11274.0,1.0
29,Si,14,25653.0,0.0,21886.0,0.0,11127.0,0.0
29,P,15,32373.0,26.0,14333.0,0.0,10461.0,0.0
30,Ne,10,4162.0,282.0,43378.0,13805.0,302.0,32163.0
30,Na,11,6679.0,11.0,39844.0,393.0,12599.0,111.0
30,Mg,12,10007.0,3.0,34761.0,126.0,11789.0,18.0
30,Al,13,15156.0,2.0,29454.0,10.0,11428.0,4.0
30,Si,14,19082.0,0.0,23992.0,2.0,10643.0,0.0
30,P,15,29195.0,1.0,17928.0,0.0,10415.0,0.0
30,S,16,34275.0,160.0,7144.0,0.0,9343.0,0.0
31,Na,11,6576.0,15.0,42482.0,525.0,15629.0,390.0
31,Mg,12,8661.0,11.0,36099.0,149.0,12597.0,90.0
31,Al,13,12885.0,2.0,32208.0,7.0,11857.0,4.0
31,Si,14,17196.0,0.0,26924.0,11.0,10787.0,0.0
31,P,15,23630.0,0.0,20810.0,0.0,9668.0,0.0
31,S,16,32028.0,50.0,11725.0,0.0,9082.0,0.0
31,Cl,17,36339.0,188.0,4659.0,3.0,8737.0,26.0
32,Na,11,5977.0,37.0,44049.0,17526.0,394.0,29739.0
32,Mg,12,8087.0,4.0,38686.0,253.0,14553.0,126.0
32,Al,13,11377.0,7.0,34151.0,8.0,12535.0,12.0
32,Si,14,15787.0,0.0,29771.0,3.0,11483.0,2.0
32,P,15,20246.0,0.0,23017.0,2.0,9879.0,0.0
32,S,16,28098.0,0.0,16160.0,0.0,6947.0,0.0
32,Cl,17,33921.0,7711.0,0.0,8611.0,1.0,34433.0
32,Ar,18,39274.0,206.0,2719.0,1.0,8698.0,160.0
33,Na,11,4608.0,450.0,46941.0,18794.0,691.0,32277.0
33,Mg,12,8058.0,4.0,40797.0,266.0,15862.0,149.0
33,Al,13,9689.0,7.0,35321.0,15.0,13602.0,10.0
33,Si,14,13707.0,0.0,31970.0,3.0,12336.0,11.0
33,P,15,18039.0,1.0,25964.0,2.0,10554.0,1.0
33,S,16,23685.0,0.0,18214.0,0.0,7115.0,0.0
33,Cl,17,30111.0,3.0,11140.0,0.0,6475.0,0.0
34,Mg,12,6990.0,29.0,43254.0,17381.0,254.0,28280.0
34,Al,13,8043.0,7.0,36218.0,37.0,13899.0,5.0
34,Si,14,12021.0,14.0,33705.0,14.0,13497.0,14.0
34,P,15,16386.0,0.0,28027.0,7.0,11108.0,3.0
